Name,Avaliable_Online_order,Avaliable_Book_table,Rate out of 5,Votes of popularity,Phone,Location,Rest_type,Approx_cost(for two people),Approx_cost(for one people)
@Italy,True,False,4.1,305,"+917760579999,+917026557799",Kumaraswamy Layout,Casual Dining,700,350.0
Chilli Flakes,True,False,3.6,46,+919880888509,Banashankari,Quick Bites,500,250.0
Calcutta Cafe,True,False,3.5,45,+917207304915,Kumaraswamy Layout,Quick Bites,350,175.0
Old Mumbai Ice Cream,True,False,3.9,38,08049652445,Banashankari,Dessert Parlor,150,75.0
Donne Biriyani House,True,False,3.9,441,"+918197743537,08026690642",Banashankari,Quick Bites,400,200.0
By 2 Coffee,True,False,3.9,25,+917026398124,Basavanagudi,Quick Bites,100,50.0
Kedia's Fun Food,True,False,4.3,630,+918867769557,Jayanagar,Quick Bites,200,100.0
Davangere Butter Dosa Hotel,True,False,3.8,25,"+919845597399,+919591868227",Kumaraswamy Layout,Quick Bites,150,75.0
Just Shawarma,True,False,3.9,160,+917676764422,Kumaraswamy Layout,Quick Bites,300,150.0
Mini Punjabi Dhaba,True,False,4.2,287,"+919845044074,+917406012344",Banashankari,Quick Bites,350,175.0
Mulabagilu Dosa,True,False,3.6,11,"+919945200103,+918867497289",Basavanagudi,Quick Bites,100,50.0
Gokul Veg,True,False,3.8,469,"+919980978388,08026627612",Basavanagudi,Casual Dining,750,375.0
Olive - Era,True,False,3.3,511,"08042017174,08042021219",Kumaraswamy Layout,Casual Dining,550,275.0
Udupi Ruchi,True,False,3.9,57,+919972385662,Banashankari,Quick Bites,200,100.0
Madhappa Hindu Military Hotel,True,False,3.4,14,+919900487676,Banashankari,Quick Bites,300,150.0
Gama Gama,True,False,3.9,264,"+919739946098,+919538433344",Banashankari,Quick Bites,200,100.0
Pizza Hut,True,False,3.8,693,"08039883988,08026710999",Banashankari,Casual Dining,750,375.0
Mangalore Pearl,True,False,3.8,242,"+918880888315,+919019966667",Jayanagar,Casual Dining,650,325.0
Asha Sweets Centre,True,False,3.6,27,"+919448616782,+919448879289",Basavanagudi,Dessert Parlor,250,125.0
Twiststick House,True,False,4.1,163,+919916538249,Basavanagudi,Quick Bites,500,250.0
Cool Corner,True,False,4.2,191,08026916505,Basavanagudi,Quick Bites,250,125.0
Pizza Mane,True,False,3.5,32,+919886212159,Banashankari,Quick Bites,150,75.0
Dal Tadkaa,True,False,2.5,247,"08026691763,+919620138000",Banashankari,Casual Dining,500,250.0
Chutney Chang,True,True,4.1,2339,"08022443007,+919901967373",Jayanagar,Casual Dining,1500,750.0
Mystique Palate,True,False,4.1,337,"+919663313544,+919916685945",Jayanagar,Quick Bites,300,150.0
Thamboola,True,False,3.9,135,"08026711258,+919845154172",Banashankari,Casual Dining,800,400.0
Castle Rock,True,False,3.6,172,"08042014000,+919845030125",Uttarahalli,Casual Dining,700,350.0
Vietnamese Kitchen,True,False,3.6,105,"08026697884,08026697883",Banashankari,Casual Dining,700,350.0
C Corner,True,False,3.2,36,"+917760185353,+919844474844",Kumaraswamy Layout,Quick Bites,200,100.0
Paratha Merchant,True,False,3.1,39,+919845089103,Kumaraswamy Layout,Quick Bites,300,150.0
North Rasoe,True,False,3.1,5,"+917406087444,+919513871453",Kumaraswamy Layout,Casual Dining,500,250.0
Toscano,True,True,4.3,1129,"08041558423,+917619320074",Jayanagar,Casual Dining,1300,650.0
Lord Of The Kitchen,True,False,3.9,56,+919682222100,Kumaraswamy Layout,Quick Bites,350,175.0
Stoned Monkey,True,False,4.3,860,"+919972710694,+919972710894",Banashankari,Dessert Parlor,500,250.0
Central Jail Restaurant,True,False,3.8,412,"+917337886666,+918880004992",Jayanagar,Casual Dining,700,350.0
Bella,True,True,3.9,142,"+918971285555,08049709755",Jayanagar,Casual Dining,1000,500.0
Vennela Andhra Meals,True,False,3.0,23,+919880046999,Jayanagar,Quick Bites,400,200.0
New Prashanth Hotel,True,False,3.6,143,"08026530150,+918861190190",Jayanagar,Casual Dining,750,375.0
The Grillo,True,True,2.8,80,+918043940555,Jayanagar,Casual Dining,500,250.0
Re Malnad Nati Style Hotel,True,False,3.6,16,"+918123481003,+919483810037",JP Nagar,Casual Dining,400,200.0
Karma Kaapi,True,False,4.4,181,"+919380908955,+917483024632",Jayanagar,Beverage Shop,250,125.0
Tiwari's,True,False,3.8,70,"+919844733389,+917829398815",Jayanagar,Quick Bites,200,100.0
Pizza Stop,True,False,3.8,164,08046640404,Basavanagudi,Quick Bites,600,300.0
Biggies Burger 'n' More,True,False,3.6,58,"+919972972950,+919663729632",Kumaraswamy Layout,Quick Bites,650,325.0
Kollapuri's,False,False,3.9,206,08041205839,Basavanagudi,Quick Bites,450,225.0
RS Shiv Sagar,False,False,3.7,217,"08026604686,08026600115",Basavanagudi,Casual Dining,450,225.0
Kholi Mane,False,False,3.6,46,"08026765670,+919035165670",Basavanagudi,Quick Bites,450,225.0
Harshi Super Sandwich,False,False,3.8,148,+919900924729,Basavanagudi,Quick Bites,150,75.0
Cake Yard,False,False,3.4,30,"+917019271830,08026611115",Basavanagudi,Dessert Parlor,250,125.0
Sri Udupi Veg,False,False,3.3,4,"+919740091688,+919739886325",Jayanagar,Quick Bites,250,125.0
Cake Art,False,False,3.5,15,+917676002255,Basavanagudi,"Bakery, Quick Bites",400,200.0
Potato House,True,False,3.4,9,+917829800010,Uttarahalli,Quick Bites,200,100.0
Matru Sagar,True,False,3.7,31,+919342250609,Mysore Road,Quick Bites,300,150.0
Ugadi,True,False,2.9,177,+919742231320,Jayanagar,Casual Dining,700,350.0
Sri Krishna Sweets,True,False,3.7,22,08026603727,Basavanagudi,Sweet Shop,250,125.0
In Time Cane Juice,True,False,3.5,10,+918867636488,Kumaraswamy Layout,Beverage Shop,100,50.0
Subway,True,False,3.7,136,"08042136088,08026719446",Banashankari,Quick Bites,600,300.0
Daal Roti,True,False,2.9,35,+919845696838,Kumaraswamy Layout,Quick Bites,250,125.0
The Lassi Park,True,False,4.1,185,+918095957665,Jayanagar,Quick Bites,200,100.0
Cafe Coffee Day,True,False,3.2,17,+919071381447,Jayanagar,Cafe,900,450.0
A2B - Adyar Ananda Bhavan,True,False,3.8,155,"08026746999,08026748999",Mysore Road,Casual Dining,400,200.0
Srikrishna Bhavan,True,False,3.8,42,"+919590895055,+919845664745",Banashankari,Quick Bites,300,150.0
Green Gardenia,True,False,3.8,160,"08026698822,+919945704570",Banashankari,Casual Dining,700,350.0
J Spice,True,False,3.8,59,"+918026739252,+919008520007",Banashankari,Casual Dining,750,375.0
Karavali Family Restaurant,True,False,3.5,90,"+917019082164,+917019082163",Jayanagar,Casual Dining,500,250.0
Karavali Lunch Home,True,False,3.7,51,"+919900690959,+919986141386",Kumaraswamy Layout,Quick Bites,350,175.0
Hatti Kaapi,True,False,4.0,89,08040942666,Jayanagar,Quick Bites,200,100.0
Kolkata Kathi Roll's,True,False,3.6,18,+919036585008,Banashankari,Quick Bites,250,125.0
Upahara Darshini,True,False,3.9,40,08022454581,Basavanagudi,Casual Dining,600,300.0
The Chaat Shop,True,False,2.5,35,+919066510817,Basavanagudi,Quick Bites,200,100.0
Anda Ka Funda,True,False,3.4,89,+917022727051,Jayanagar,Quick Bites,250,125.0
Shri Vinayaka Ice N Juice,True,False,3.2,11,"+919448090792,+919481201127",Basavanagudi,Quick Bites,150,75.0
Ibaco,True,False,3.9,33,"+919731482129,+919164620821",Jayanagar,Dessert Parlor,300,150.0
Jalaram Sweets,True,False,3.8,32,"+918022447956,+919880097093",Jayanagar,Sweet Shop,250,125.0
Samskruti - Sanman Gardenia,True,False,4.1,139,"08026570711,+919663684499",Jayanagar,Casual Dining,550,275.0
Bendakaluru Bytes,True,False,3.2,154,+919972777362,Vijay Nagar,Quick Bites,300,150.0
Cocoa Bakes,True,False,3.6,14,"08026711320,+919449949862",Banashankari,Bakery,350,175.0
Chumma Delicious,True,False,3.7,237,"+919341262402,+919108648373",Banashankari,Quick Bites,200,100.0
New Prashanth Hotel,True,False,3.9,388,"08049569558,+918197819686",Banashankari,Casual Dining,650,325.0
Dwaraka Grand,True,False,3.9,128,+919448214873,Kumaraswamy Layout,Casual Dining,500,250.0
Gufha - The President Hotel,True,True,4.1,1875,"08041808777,+919900265022",Jayanagar,Casual Dining,1200,600.0
Tanna's Kitchen,True,False,3.1,7,+918904179298,Kumaraswamy Layout,Quick Bites,250,125.0
Shree Mandarathi Grand,True,False,3.7,38,"+919686059839,+918048668789",Uttarahalli,Casual Dining,400,200.0
Mojo Pizza - 2X Toppings,True,False,4.2,179,02233252828,Banashankari,Delivery,600,300.0
Iceberg Icecreams,True,False,4.0,43,+919035709035,Basavanagudi,Dessert Parlor,250,125.0
South Kitchen,True,False,4.3,275,+919880980009,Basavanagudi,Quick Bites,100,50.0
Chung Wah,True,False,3.7,323,"+919108945477,+919108945277",Jayanagar,Casual Dining,850,425.0
Shanthi Sagar,True,False,3.1,28,"08026392096,+919886056778",Uttarahalli,Casual Dining,400,200.0
Millet Mama,True,False,3.9,18,"+917411918648,+919986975625",Basavanagudi,Quick Bites,200,100.0
Bangarpet Chat Express,True,False,3.3,6,+919880546954,Basavanagudi,Quick Bites,100,50.0
Prems Graama Bhojanam,True,False,4.3,322,"08026630542,+919611980542",Jayanagar,Casual Dining,400,200.0
Java City,True,False,2.6,157,08041654693,Jayanagar,Cafe,450,225.0
Kamat Bugle Rock,True,False,3.9,543,08026605734,Basavanagudi,Quick Bites,300,150.0
Puliyogare Point,True,False,4.2,444,"+919986953484,+919880156235",Basavanagudi,Quick Bites,100,50.0
Bangalore Agarwal Bhavan,True,False,3.9,134,"+919880988500,+919342943356",Jayanagar,Quick Bites,400,200.0
Rustic Stove,True,False,3.8,577,"08026547755,+919686372742",Jayanagar,Casual Dining,900,450.0
Udupi Ruchi Grand,True,False,4.2,60,+919980816347,Banashankari,Quick Bites,200,100.0
De Thaali,True,False,3.9,144,08022445267,Jayanagar,Casual Dining,550,275.0
Matru Sagar,True,False,3.6,84,+919972368854,Banashankari,Quick Bites,250,125.0
Vasanth Vihar - Since 1965,True,False,3.6,95,+919148340856,Banashankari,Quick Bites,150,75.0
Sea Spice by 7 Star,True,True,4.0,349,08049653393,Banashankari,Casual Dining,1200,600.0
Desi Dawat,True,False,3.7,248,+916363331588,Kumaraswamy Layout,Quick Bites,400,200.0
Cafe Aira,True,False,4.1,216,"+919980570955,08041121975",Basavanagudi,Cafe,500,250.0
Mast Punjabi,True,False,2.6,231,+917338562176,Kumaraswamy Layout,Quick Bites,400,200.0
South Grand,True,False,3.4,102,08026394647,Uttarahalli,Casual Dining,400,200.0
The Pizzeria,True,False,2.8,45,"+919845154172,+919620344606",Banashankari,Casual Dining,800,400.0
Cafe Zone,True,False,3.9,149,+919036406040,Kumaraswamy Layout,Quick Bites,300,150.0
Ruchis Point,True,False,3.8,75,+919901999970,Banashankari,Quick Bites,200,100.0
Firangi Bake,True,False,4.0,53,+917710090007,Rajarajeshwari Nagar,Delivery,600,300.0
The Royal Corner - Pai Viceroy,True,True,4.2,815,"+919980909054,+919845184810",Jayanagar,Casual Dining,900,450.0
Hara Fine Dine,True,True,4.0,633,"08042112211,+919880412211",Banashankari,Casual Dining,800,400.0
Chocoberry,True,False,3.5,56,+919742644747,Jayanagar,Dessert Parlor,400,200.0
Dakshin Grand,True,False,3.0,82,+918310436563,Banashankari,Quick Bites,300,150.0
Sandwichwallas,True,False,3.7,35,"+919108076353,+917337726991",Jayanagar,Quick Bites,200,100.0
Chai Mane,True,False,3.6,20,+919606502508,Basavanagudi,Quick Bites,150,75.0
SLV Upachar,True,False,3.1,14,+919449347456,Kumaraswamy Layout,Quick Bites,250,125.0
Waffle-A-Go Go,True,False,3.9,70,+919900281611,Banashankari,Dessert Parlor,400,200.0
Cross Road Cafe,True,False,3.9,91,08041247022,Jayanagar,Cafe,300,150.0
Anand Donne Biriyani,True,False,3.6,45,+918892398288,Jayanagar,Quick Bites,200,100.0
Seven Star,True,False,3.4,7,"+919035117805,+919686616448",Banashankari,Quick Bites,250,125.0
Stop 'N' Joy,True,False,3.8,28,+919741932387,Banashankari,Quick Bites,150,75.0
Sri Yaksha Shiv Sagar,True,False,3.6,24,"+919731004414,0026719449",Banashankari,Casual Dining,600,300.0
Fudge,True,False,3.8,36,+918105952525,Basavanagudi,Dessert Parlor,200,100.0
Just Bunny,True,False,3.5,11,+919538040291,Jayanagar,Quick Bites,200,100.0
Bakers Town,True,False,3.8,77,+918884550298,Kumaraswamy Layout,Cafe,650,325.0
Shree Mahalakshmi Sweets,True,False,3.2,8,+917899900144,Banashankari,Sweet Shop,100,50.0
Kaapi Kendra,True,False,3.7,14,+918277264556,Jayanagar,Quick Bites,100,50.0
Ivy,True,False,3.8,210,08042292888,Kumaraswamy Layout,Casual Dining,600,300.0
The Airos,True,False,4.1,130,+917026390001,Jayanagar,Cafe,650,325.0
Chai Kraft,True,False,4.1,30,+919946666099,Jayanagar,Beverage Shop,100,50.0
South Point Pub,True,False,3.4,11,"08026563642,+919482717555",Basavanagudi,Bar,800,400.0
The Trundle,True,False,3.7,133,+919986520008,Jayanagar,Casual Dining,700,350.0
The Krishna Grand Xpress,True,False,4.0,136,+919845108265,Jayanagar,Quick Bites,350,175.0
Sri Krishna Darshini,True,False,3.1,4,"+919845006344,08026678386",Basavanagudi,Quick Bites,200,100.0
Shringar Sweets & Snacks,True,False,3.5,11,+919606504043,Basavanagudi,"Sweet Shop, Quick Bites",200,100.0
Udupi Grand,True,False,3.8,74,"+919242115999,+919591322733",Basavanagudi,Quick Bites,300,150.0
Ganesh Grand,True,False,3.7,30,08026700948,Basavanagudi,Quick Bites,300,150.0
Shreyas Upahar & Burger Point,True,False,3.0,7,+919980990800,Basavanagudi,Quick Bites,200,100.0
